disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,population,cost_per_completion,cost_per_message,CTR,CPM,current_total,audienced,exclusion,price,saturated
07853f76,0.208,0.6,0.576,0.468,0.208,0.016,3673889.0,45.45454545454545,11.111111111110999,1.97621443,59.16809656,250.0,False,False,1737.142857142857,True
09c3966f,0.24472573839662448,0.47257383966244726,0.5907172995780591,0.45147679324894513,0.3333333333333333,0.02109704641350211,2496970.0,142.85714285714286,25.0,2.01957541,68.92748828,237.0,True,False,15276.0,False
0b302692,0.14655172413793102,0.5732758620689655,0.5991379310344828,0.46551724137931033,0.07758620689655173,0.017241379310344827,3100946.0,76.92307692307692,26.315789473684,1.69360195,55.3464689,232.0,True,True,61707.00000000001,False
0c4a9e7c,0.2603305785123967,0.45041322314049587,0.5950413223140496,0.49173553719008267,0.10743801652892562,0.012396694214876033,3006538.0,58.8235294117647,17.241379310345,1.72074417,63.49609499,242.0,False,False,4924.6,False
0c92f920,0.22413793103448276,0.40229885057471265,0.7068965517241379,0.5287356321839081,0.3793103448275862,0.017241379310344827,1221592.0,100.0,35.714285714286,2.09038812,65.12112529,174.0,False,False,11100.111111111111,False
0d1e3ccb,0.14285714285714285,0.5494505494505495,0.554945054945055,0.42857142857142855,0.23626373626373626,0.03296703296703297,1564708.0,111.11111111111111,33.333333333333,1.38797575,73.0513551,182.0,False,False,19803.8,False
0e695f9f,0.13043478260869565,0.6679841897233202,0.6758893280632411,0.383399209486166,0.1067193675889328,0.007905138339920948,3343872.0,62.5,20.833333333333,1.45086705,57.80346821,253.0,True,True,,True
15b5a749,0.24603174603174602,0.5158730158730159,0.6150793650793651,0.4603174603174603,0.21428571428571427,0.031746031746031744,3681896.0,90.9090909090909,20.408163265306,1.82630403,65.6943897,252.0,True,False,1890.4285714285718,True
188ae45b,0.3057324840764331,0.4140127388535032,0.4968152866242038,0.4394904458598726,0.3057324840764331,0.03184713375796178,716259.0,83.33333333333333,35.714285714286,1.70185541,63.97952655,157.0,False,False,17485.833333333336,False
196f4fd1,0.16806722689075632,0.6008403361344538,0.5378151260504201,0.46218487394957986,0.21428571428571427,0.012605042016806723,2547184.0,40.0,14.285714285713999,1.68499468,59.12262031,238.0,False,False,13144.0,False
22a26988,0.2620320855614973,0.48663101604278075,0.5721925133689839,0.39572192513368987,0.22459893048128343,0.026737967914438502,1413199.0,100.0,38.461538461538,1.50812918,73.56727728,187.0,False,False,13104.125,False
247b0531,0.27450980392156865,0.396078431372549,0.5568627450980392,0.4392156862745098,0.3137254901960784,0.0392156862745098,2632733.0,76.92307692307692,24.390243902439,1.95092518,67.04210244,255.0,True,False,7259.0,True
2568806d,0.270935960591133,0.4729064039408867,0.6059113300492611,0.43349753694581283,0.12807881773399016,0.014778325123152709,3487731.0,111.11111111111111,18.867924528301998,2.22533343,73.68653747,203.0,True,False,14910.285714285714,False
297259d4,0.22767857142857142,0.48660714285714285,0.6428571428571429,0.47767857142857145,0.12053571428571429,0.008928571428571428,3405559.0,66.66666666666667,23.255813953488,1.82073767,66.9388848,224.0,True,False,15214.0,False
2c9636b1,0.2897959183673469,0.46122448979591835,0.6122448979591837,0.3877551020408163,0.12244897959183673,0.00816326530612245,3797117.0,66.66666666666667,23.809523809524002,1.6030034,59.59120434,245.0,True,False,2706.8571428571427,False
2e0a86c3,0.2918287937743191,0.5175097276264592,0.6070038910505836,0.44357976653696496,0.26848249027237353,0.023346303501945526,3676841.0,26.31578947368421,9.090909090909099,2.06951296,56.69898509,257.0,False,False,417.0,True
335580ac,0.2857142857142857,0.4642857142857143,0.5267857142857143,0.45982142857142855,0.5580357142857143,0.04017857142857143,2445474.0,100.0,22.222222222221998,1.69271568,56.42385601,224.0,True,False,14171.285714285714,False
3b34c260,0.4069767441860465,0.4186046511627907,0.6201550387596899,0.42248062015503873,0.3798449612403101,0.027131782945736434,1862559.0,50.0,16.949152542373,1.96164452,62.67234896,258.0,False,False,,True
3c054e8f,0.2795275590551181,0.47244094488188976,0.5748031496062992,0.44881889763779526,0.16929133858267717,0.011811023622047244,2663629.0,47.61904761904762,19.230769230769,1.80065478,60.62810719,254.0,True,False,1789.3333333333333,True
